Source,Target,Weight,Type
across_the_universe,all_you_need_is_love,2,undirected
across_the_universe,and_i_love_her,6,undirected
across_the_universe,i_am_the_walrus,3,undirected
across_the_universe,strawberry_fields,3,undirected
across_the_universe,US_Constitution,2,undirected
all_you_need_is_love,across_the_universe,2,undirected
all_you_need_is_love,and_i_love_her,4,undirected
all_you_need_is_love,girl,1,undirected
all_you_need_is_love,i_am_the_walrus,2,undirected
all_you_need_is_love,strawberry_fields,6,undirected
all_you_need_is_love,US_Constitution,1,undirected
all_you_need_is_love,yesterday,2,undirected
and_i_love_her,across_the_universe,6,undirected
and_i_love_her,all_you_need_is_love,4,undirected
and_i_love_her,girl,2,undirected
and_i_love_her,i_am_the_walrus,1,undirected
and_i_love_her,strawberry_fields,3,undirected
girl,all_you_need_is_love,1,undirected
girl,and_i_love_her,2,undirected
girl,strawberry_fields,3,undirected
girl,yesterday,1,undirected
i_am_the_walrus,across_the_universe,3,undirected
i_am_the_walrus,all_you_need_is_love,2,undirected
i_am_the_walrus,and_i_love_her,1,undirected
i_am_the_walrus,Origin_of_Species,2,undirected
Origin_of_Species,i_am_the_walrus,2,undirected
Origin_of_Species,strawberry_fields,1,undirected
Origin_of_Species,US_Constitution,3,undirected
strawberry_fields,across_the_universe,3,undirected
strawberry_fields,all_you_need_is_love,6,undirected
strawberry_fields,and_i_love_her,3,undirected
strawberry_fields,girl,3,undirected
strawberry_fields,Origin_of_Species,1,undirected
strawberry_fields,US_Constitution,3,undirected
strawberry_fields,yesterday,3,undirected
US_Constitution,across_the_universe,2,undirected
US_Constitution,all_you_need_is_love,1,undirected
US_Constitution,Origin_of_Species,3,undirected
US_Constitution,strawberry_fields,3,undirected
yesterday,all_you_need_is_love,2,undirected
yesterday,girl,1,undirected
yesterday,strawberry_fields,3,undirected
