"across_the_universe" "all_you_need_is_love" "i_am_the_walrus" "strawberry_fields" "yesterday"
"you" 0 16.8508287292818 2.1505376344086 4.12371134020619 0
"love" 0.50761421319797 17.1270718232044 0 0 1.50375939849624
"is" 0 12.9834254143646 0.43010752688172 4.63917525773196 0
"all" 0 13.2596685082873 0.21505376344086 2.06185567010309 0.75187969924812
"need" 0 12.9834254143646 0 0 1.50375939849624
"i" 0 0 2.36559139784946 4.63917525773196 9.02255639097744
"the" 2.03045685279188 0.276243093922652 4.73118279569892 0 0.75187969924812
"to" 0 0.828729281767956 0.860215053763441 5.15463917525773 6.01503759398496
"a" 2.53807106598985 0 2.1505376344086 1.03092783505155 2.25563909774436
"goo" 0 0 4.3010752688172 0 0
"my" 7.10659898477157 0 0.43010752688172 0.515463917525773 0.75187969924812
"me" 3.04568527918782 0 0.645161290322581 3.09278350515464 0.75187969924812
"they" 3.04568527918782 0 2.1505376344086 0 0
"umpa" 0 0 3.44086021505376 0 0
"nothing" 0 1.93370165745856 0 4.12371134020619 0
"one" 0 0.276243093922652 2.36559139784946 0.515463917525773 0
"change" 6.09137055837563 0 0 0 0
"gonna" 6.09137055837563 0 0 0 0
"it" 0.50761421319797 0 1.50537634408602 1.54639175257732 0.75187969924812
"joob" 0 0 2.58064516129032 0 0
"nothing^s" 6.09137055837563 0 0 0 0
"world" 6.09137055837563 0 0 0 0
"can" 0 3.03867403314917 0 0 0
"everybody^s" 0 0 2.36559139784946 0 0
"got" 0 0 2.36559139784946 0 0
"i^m" 0 0 1.29032258064516 2.06185567010309 0.75187969924812
"in" 0 0.276243093922652 1.0752688172043 1.03092783505155 2.25563909774436
"are" 1.52284263959391 0 1.50537634408602 0 0
"be" 0 1.93370165745856 0 1.03092783505155 0.75187969924812
"fields" 0 0 0 5.15463917525773 0
"strawberry" 0 0 0 5.15463917525773 0
"that" 0 1.93370165745856 0 1.54639175257732 0
"yesterday" 0 0.276243093922652 0 0 6.76691729323308
"am" 0 0 1.93548387096774 0 0
"and" 2.03045685279188 0 0.21505376344086 2.06185567010309 0
"it^s" 0 0.828729281767956 0 3.09278350515464 0
"your" 0 0 1.93548387096774 0 0
"egg" 0 0 1.72043010752688 0 0
"g" 0 0 1.72043010752688 0 0
"how" 0 0.552486187845304 1.29032258064516 0 0
"jooba" 0 0 1.72043010752688 0 0
"know" 0 0.276243093922652 0.21505376344086 2.06185567010309 1.50375939849624
"man" 0 0 1.50537634408602 0 0.75187969924812
"see" 0 0.276243093922652 1.29032258064516 0.515463917525773 0
"up" 0 0 1.72043010752688 0 0
"jumper" 0 0 1.50537634408602 0 0
"like" 2.03045685279188 0 0.645161290322581 0 0
"mm" 0 0 0 0 5.26315789473684
"now" 0 0.276243093922652 0.21505376344086 0 3.7593984962406
"of" 2.53807106598985 0 0.43010752688172 0 0
"stick" 0 0 1.50537634408602 0 0
"yeah" 0 1.93370165745856 0 0 0
"as" 0.50761421319797 0 0.860215053763441 0 0.75187969924812
"but" 0 0.552486187845304 0 2.06185567010309 0
"crying" 0 0 1.29032258064516 0 0
"deva" 3.04568527918782 0 0 0 0
"down" 0 0 0.43010752688172 2.06185567010309 0
"easy" 0 0.828729281767956 0 0.515463917525773 1.50375939849624
"forever" 0 0 0 3.09278350515464 0
"guru" 3.04568527918782 0 0 0 0
"jai" 3.04568527918782 0 0 0 0
"let" 0 0 0.43010752688172 2.06185567010309 0
"oh" 0 0.552486187845304 0 0 3.00751879699248
"she" 0 0.552486187845304 0 0 3.00751879699248
"think" 0 0 0.21505376344086 2.57731958762887 0
"about" 0 0 0.21505376344086 2.06185567010309 0
"can^t" 0 1.10497237569061 0 0.515463917525773 0
"get" 0 0 0.21505376344086 2.06185567010309 0
"on" 2.03045685279188 0 0.21505376344086 0 0
"take" 0 0 0.21505376344086 2.06185567010309 0
"across" 2.03045685279188 0 0 0 0
"away" 0.50761421319797 0 0 0 2.25563909774436
"cause" 0 0 0 2.06185567010309 0
"don^t" 0 0 0.43010752688172 0 1.50375939849624
"for" 0 0 0.43010752688172 0 1.50375939849624
"going" 0 0 0 2.06185567010309 0
"hung" 0 0 0 2.06185567010309 0
"men" 0 0 0.860215053763441 0 0
"real" 0 0 0 2.06185567010309 0
"there^s" 0 0.828729281767956 0 0 0.75187969924812
"universe" 2.03045685279188 0 0 0 0
"walrus" 0 0 0.860215053763441 0 0
"an" 0 0 0.21505376344086 0 1.50375939849624
"believe" 0 0 0 0 2.25563909774436
"from" 0 0 0.645161290322581 0 0
"game" 0 0.276243093922652 0 0 1.50375939849624
"hah" 0 0 0.645161290322581 0 0
"he" 0 0 0.645161290322581 0 0
"hee" 0 0 0.645161290322581 0 0
"ho" 0 0 0.645161290322581 0 0
"isn^t" 0 0.828729281767956 0 0 0
