"Gen1" "Gen15" "Gen2" "Gen47_3_5" "Gen47_6_10"
"and" 12.2940430925222 9.42184154175589 9.28 7.05882352941176 8.33333333333333
"the" 11.0266159695817 5.78158458244111 10.88 4.70588235294118 10.4166666666667
"of" 2.78833967046895 2.56959314775161 6.08 2.35294117647059 9.72222222222222
"sons" 0 0 0 0 0
"his" 0.126742712294043 0 1.44 1.17647058823529 0.694444444444444
"unto" 0.253485424588086 1.71306209850107 0.48 5.88235294117647 2.08333333333333
"jacob" 0 0 0 0 3.47222222222222
"were" 0.253485424588086 0 0.64 0 0
"all" 0.253485424588086 0.214132762312634 0.64 0 0
"him" 0.126742712294043 1.71306209850107 0.64 0 0.694444444444444
"to" 1.39416983523447 1.49892933618844 1.92 1.17647058823529 0.694444444444444
"egypt" 0 0.214132762312634 0 0 0.694444444444444
"in" 1.39416983523447 1.9271948608137 1.12 3.52941176470588 2.77777777777778
"into" 0 0 0.32 0 0
"joseph" 0 0 0 1.17647058823529 0.694444444444444
"souls" 0 0 0 0 0
"that" 1.52091254752852 2.14132762312634 1.6 0 0
"their" 1.01394169835234 0 0 0 0.694444444444444
"are" 0 0 0.16 3.52941176470588 1.38888888888889
"came" 0 0.856531049250535 0 0 0
"i" 0.253485424588086 1.49892933618844 0.16 0 0
"these" 0 0.642398286937901 0.16 0 0
"with" 0.126742712294043 0.428265524625268 0 0 0
"father" 0 0 0.16 1.17647058823529 1.38888888888889
"he" 0.760456273764259 2.56959314775161 1.6 0 0
"israel" 0 0 0 0 0
"land" 0.253485424588086 0.642398286937901 0.48 3.52941176470588 2.08333333333333
"s" 0 0 0 0 0
"they" 0 0.856531049250535 0.48 2.35294117647059 0.694444444444444
"have" 0.506970849176172 0.214132762312634 0 0 1.38888888888889
"said" 1.26742712294043 1.71306209850107 0.32 3.52941176470588 1.38888888888889
"shall" 0.126742712294043 2.78372591006424 0.64 0 0
"will" 0 0.214132762312634 0.16 0 0
"bare" 0 0 0 0 0
"daughter" 0 0 0 0 0
"god" 4.05576679340938 0 2.24 0 0
"goshen" 0 0 0 1.17647058823529 0.694444444444444
"up" 0 0 0.48 0 0
"who" 0 0 0 0 0
"whom" 0 0.214132762312634 0.16 0 0
"a" 0.760456273764259 2.99785867237687 1.6 0 0.694444444444444
"born" 0 0.214132762312634 0 0 0
"canaan" 0 0 0 1.17647058823529 0
"cattle" 0.380228136882129 0 0.16 0 0.694444444444444
"daughters" 0 0 0 0 0
"for" 0.760456273764259 0.428265524625268 0.96 3.52941176470588 0
"go" 0 0.428265524625268 0 0 0
"had" 0.126742712294043 0 1.12 0 0
"house" 0 0.428265524625268 0 0 0
"on" 0.126742712294043 0 0.32 0 0
"pharaoh" 0 0 0 4.70588235294118 4.16666666666667
"rachel" 0 0 0 0 0
"say" 0 0 0 0 0
"she" 0 0 0.32 0 0
"thee" 0 0.428265524625268 0 2.35294117647059 0.694444444444444
"thy" 0 1.2847965738758 0 5.88235294117647 2.08333333333333
"am" 0 0.428265524625268 0 0 0
"been" 0 0 0 0 0.694444444444444
"beer-sheba" 0 0 0 0 0
"before" 0 0 0 0 1.38888888888889
"benjamin" 0 0 0 0 0
"beriah" 0 0 0 0 0
