"E" "J" "P"
"and" 9.34579439252336 10.0436681222707 16.0183066361556
"the" 4.67289719626168 3.05676855895197 7.55148741418764
"of" 3.73831775700935 2.62008733624454 7.09382151029748
"sons" 0.934579439252336 0 5.94965675057208
"his" 0.934579439252336 3.49344978165939 2.97482837528604
"unto" 0.934579439252336 4.36681222707424 1.37299771167048
"jacob" 3.73831775700935 0 2.51716247139588
"were" 0 0.436681222707424 2.2883295194508
"all" 0 0.873362445414847 1.83066361556064
"him" 0.934579439252336 1.74672489082969 1.1441647597254
"to" 1.86915887850467 2.18340611353712 0.68649885583524
"egypt" 1.86915887850467 0 1.60183066361556
"in" 1.86915887850467 0.873362445414847 1.1441647597254
"into" 1.86915887850467 0.436681222707424 1.1441647597254
"joseph" 0.934579439252336 1.74672489082969 0.68649885583524
"souls" 0 0 1.83066361556064
"that" 0 2.18340611353712 0.68649885583524
"their" 2.80373831775701 0.873362445414847 0.68649885583524
"are" 0 0.873362445414847 1.1441647597254
"came" 0 0.873362445414847 1.1441647597254
"i" 4.67289719626168 0.873362445414847 0
"these" 0 0 1.60183066361556
"with" 0.934579439252336 0.436681222707424 1.1441647597254
"father" 1.86915887850467 1.74672489082969 0
"he" 1.86915887850467 1.31004366812227 0.22883295194508
"israel" 1.86915887850467 1.31004366812227 0.22883295194508
"land" 0 1.31004366812227 0.68649885583524
"s" 0 0.873362445414847 0.91533180778032
"they" 0 1.74672489082969 0.45766590389016
"have" 0 2.18340611353712 0
"said" 2.80373831775701 0.873362445414847 0
"shall" 0.934579439252336 1.74672489082969 0
"will" 2.80373831775701 0.873362445414847 0
"bare" 0 0 0.91533180778032
"daughter" 0 0 0.91533180778032
"god" 2.80373831775701 0.436681222707424 0
"goshen" 0 1.74672489082969 0
"up" 1.86915887850467 0.873362445414847 0
"who" 0 0.436681222707424 0.68649885583524
"whom" 0 0 0.91533180778032
"a" 0.934579439252336 0.436681222707424 0.22883295194508
"born" 0 0 0.68649885583524
"canaan" 0 0.436681222707424 0.45766590389016
"cattle" 0 0.873362445414847 0.22883295194508
"daughters" 0 0 0.68649885583524
"for" 0.934579439252336 0.873362445414847 0
"go" 1.86915887850467 0.436681222707424 0
"had" 0.934579439252336 0.436681222707424 0.22883295194508
"house" 0 0.873362445414847 0.22883295194508
"on" 0 0.873362445414847 0.22883295194508
"pharaoh" 0.934579439252336 0.873362445414847 0
"rachel" 0 0 0.68649885583524
"say" 0 1.31004366812227 0
"she" 0 0 0.68649885583524
"thee" 2.80373831775701 0 0
"thy" 0.934579439252336 0.873362445414847 0
"am" 1.86915887850467 0 0
"been" 0 0.873362445414847 0
"beer-sheba" 0.934579439252336 0.436681222707424 0
"before" 0 0.873362445414847 0
"benjamin" 0 0 0.45766590389016
"beriah" 0 0 0.45766590389016
"brethren" 0 0.873362445414847 0
"brought" 0 0.436681222707424 0.22883295194508
"come" 0 0.873362445414847 0
"down" 1.86915887850467 0 0
"er" 0 0 0.45766590389016
"even" 0 0.436681222707424 0.22883295194508
"from" 0.934579439252336 0.436681222707424 0
"gave" 0 0 0.45766590389016
"hezron" 0 0 0.45766590389016
"is" 0 0.873362445414847 0
"judah" 0 0.436681222707424 0.22883295194508
"keepers" 0 0.873362445414847 0
"laban" 0 0 0.45766590389016
"leah" 0 0 0.45766590389016
"me" 0 0.873362445414847 0
"my" 0 0.873362445414847 0
"neck" 0 0.873362445414847 0
"now" 0 0.873362445414847 0
"onan" 0 0 0.45766590389016
"our" 0 0.873362445414847 0
"perez" 0 0 0.45766590389016
"reuben" 0 0 0.45766590389016
"seed" 0 0 0.45766590389016
"sent" 0.934579439252336 0.436681222707424 0
"threescore" 0 0 0.45766590389016
"took" 0 0.436681222707424 0.22883295194508
"which" 0.934579439252336 0 0.22883295194508
"wives" 0.934579439252336 0 0.22883295194508
"ye" 0 0.873362445414847 0
"abomination" 0 0.436681222707424 0
"again" 0.934579439252336 0 0
"alive" 0 0.436681222707424 0
"also" 0.934579439252336 0 0
"an" 0 0.436681222707424 0
"ard" 0 0 0.22883295194508
"areli" 0 0 0.22883295194508
"arodi" 0 0 0.22883295194508
"art" 0 0.436681222707424 0
"asenath" 0 0 0.22883295194508
"ashbel" 0 0 0.22883295194508
"asher" 0 0 0.22883295194508
"becher" 0 0 0.22883295194508
"bela" 0 0 0.22883295194508
"besides" 0 0 0.22883295194508
"bilhah" 0 0 0.22883295194508
"both" 0 0.436681222707424 0
"bring" 0.934579439252336 0 0
"but" 0 0 0.22883295194508
"call" 0 0.436681222707424 0
"canaanitish" 0 0 0.22883295194508
"carmi" 0 0 0.22883295194508
"carried" 0.934579439252336 0 0
"carry" 0.934579439252336 0 0
"chariot" 0 0.436681222707424 0
"children" 0 0 0.22883295194508
"dan" 0 0 0.22883295194508
"die" 0 0.436681222707424 0
"died" 0 0 0.22883295194508
"dinah" 0 0 0.22883295194508
"dwell" 0 0.436681222707424 0
"egyptians" 0 0.436681222707424 0
"ehi" 0 0 0.22883295194508
"elon" 0 0 0.22883295194508
"ephraim" 0 0 0.22883295194508
"eri" 0 0 0.22883295194508
"every" 0 0.436681222707424 0
"eyes" 0.934579439252336 0 0
"ezbon" 0 0 0.22883295194508
"face" 0 0.436681222707424 0
"fathers" 0 0.436681222707424 0
"fear" 0.934579439252336 0 0
"fell" 0 0.436681222707424 0
"first-born" 0 0 0.22883295194508
"flocks" 0 0.436681222707424 0
"fourteen" 0 0 0.22883295194508
"gad" 0 0 0.22883295194508
"gera" 0 0 0.22883295194508
"gershon" 0 0 0.22883295194508
"good" 0 0.436681222707424 0
